
[Calendar Swap Difference Options List]
Symbol,Intrinsic,ltp,Strike_Price,Call_Diff1%,Call_Diff2%,Call_Diff3%,Put_Diff1%,Put_Diff2%,Put_Diff3%,Day_Range,Week_Range,Month_Range
TITAN,144.377,3880.2,3880,2,,0,,,0,1.72,3.3,8.97
POWERGRID,106.531,263.6,262.5,1.7000000000000002,,0,1.5,,0.1,1.41,3.92,7.01
NESTLEIND,22.996,1238.3,1240,1.7000000000000002,1.4000000000000001,0,,,0,1.52,2.72,7.87
COALINDIA,171.077,383.35,382.5,1.6,,0,1.4000000000000001,,0,1.35,3.47,5.49
HEROMOTOCO,1049.694,5960,5950,1.0999999999999999,,0.1,0.6,,0.1,2.23,5.3,9.25
BAJAJFINSV,480.6,2083.1,2080,1,2.1999999999999997,0,0.7000000000000001,,0,2.03,4.47,7.37
EICHERMOT,805.256,7229,7250,0.8,,0,1,,0.1,1.72,4.44,7.8
JSWSTEEL,340.317,1125.5,1130,0.8,,0.1,0.8,,0.2,2.31,5.94,8.18
HCLTECH,266.22968,1673.2,1680,0.8,0.8999999999999999,0,1.4000000000000001,0.8999999999999999,0,1.51,3.8,9.18
GRASIM,1468.673,2836.7,2840,0.7000000000000001,0.8999999999999999,0.1,,,0.1,1.54,3.81,8.4
TATACONSUM,205.423,1149.3,1150,0.7000000000000001,,0,1.7000000000000002,,0,1.75,3.76,6.38
APOLLOHOSP,632.453,7101,7100,0.6,1.4000000000000001,0,,,0,1.49,3.16,8.64
ONGC,292.589,238.02,237.5,0.6,,0,2.5,,0,1.23,3.05,5.87
ADANIPORTS,310.464,1522.8,1520,0.6,1,0,0.4,,0,1.7,3.97,7.72
ULTRACEMCO,2448.889,11723,11700,0.6,,0,,,0,1.43,2.71,7.08
INDUSINDBK,835.417,846.15,850,0.5,,0,,,0.1,2.62,5.62,10.23
ASIANPAINT,204.34,2764.8,2760,0.5,0.7000000000000001,0,0.2,0.6,0,2.04,5.21,9.45
SUNPHARMA,324.462,1793.5,1800,0.5,1.0999999999999999,0,0.3,0.8,0,1.39,3.15,6.44
LT,736.989,4074.1,4080,0.5,,0,1.4000000000000001,,0,1.47,3.64,6.74
AXISBANK,643.264,1286.1,1290,0.5,,0,0.6,,0,1.25,2.64,7.76
ADANIENT,445.61,2282.4,2280,0.5,,0,,,0,2.81,6.63,11.13
KOTAKBANK,845.015,2176.6,2180,0.4,,0,1.3,,0,1.71,2.95,7.84
BHARTIARTL,203.273,2083.4,2080,0.4,0.8,0,0.6,,0,1.47,4.15,7.83
NTPC,198.221,325.05,325,0.4,4.5,0,1,3.5000000000000004,0,1.28,3.11,5.83
TECHM,310.382,1578.4,1580,0.3,,0,1.4000000000000001,,0,1.73,3.85,9.83
TCS,294.119,3220.5,3220,0.3,,0,0.3,,0,1.58,3.22,7.74
HDFCLIFE,78.523,777.5,780,0.3,1.3,0,1.4000000000000001,0.8,0.2,1.99,3.79,8.14
CIPLA,407.531,1517.4,1520,0.3,1.2,0,0.4,0.7000000000000001,0,1.28,2.9,7.13
BAJFINANCE,166.188,1017.3,1020,0.2,0.8,0,0.2,,0,2.04,5.36,10.15
HINDUNILVR,207.383,2260.6,2260,0.2,,0,0.1,,0,2.45,3.94,9.66
HINDALCO,607.505,852.1,850,0.2,,0,0.8,,0,2.11,5.36,8.53
JIOFIN,213.244,300.75,300,0.2,0.4,0,0.1,0.3,0,2.07,4.34,9.62
SBILIFE,182.376,2025.9,2020,0.2,,0,0.3,,0,1.77,3.62,6.89
TATASTEEL,76.221,171.89,172.5,0.2,,0,1.4000000000000001,,0,2.03,5.23,9.06
ICICIBANK,469.65,1366,1370,0.1,,0,0.4,,0,0.95,2.82,5.94
HDFCBANK,354.079,1001.5,1000,0.1,0.2,0,0.1,0.2,0,1.16,2.77,5.08
SBIN,616.765,963.15,965,0.1,,0,0.5,,0,1.41,3.21,6.23
MARUTI,3172.502,16522,16500,0.1,,0,0.1,,0,1.57,3.31,7.34
TRENT,171.62,4075.4,4100,0.1,,0,0.3,,0,2.43,4.2,17.09
ETERNAL,33.193,298.05,300,0.1,0.6,0,0.2,0.4,0.1,3.37,5.68,12.81
DRREDDY,430.609,1279.3,1280,0.1,1.3,0,0.8,1.0999999999999999,0.1,1.41,3.91,7.74
BAJAJ-AUTO,1223.784,9015,9000,0.1,0.8999999999999999,0,0.1,2,0,1.37,3.16,7.36
ITC,56.707,400.1,400,0,0.4,0,0,0.1,0,0.98,2.44,5.41
INFY,252.04274,1598.2,1600,0,0.2,0,0.3,0.4,0,1.68,3.67,7.71
RELIANCE,648.12,1556.5,1560,0,,0,0.4,,0,1.49,3.07,7.19
WIPRO,82.193,260.6,260,0,1.3,0,0.3,0.5,0,1.3,2.94,7.76
M&M,741.994,3679.6,,,,,,,,1.61,3.95,8.34
