[GTT Pending List]
Symbol,ltp,GTT,Rank,MTF,Rating,Intrinsic,Recommended,Day,Day_Gap%,Week,Week_Gap%,Month,Month_Gap%
REFEX,275.5,271.76,836.0,5.0,3,94.837,none,271.76,1.36,226.02,17.96,309.84,0.0
CGCL,177.37,173.85,373.0,5.0,4,69.276,none,173.85,1.99,116.4,34.38,-40.33,122.74
HGINFRA,733.3,716.93,766.0,5.0,4,470.352,strong_buy,716.93,2.23,590.64,19.45,,0.0
ARE&M,924.15,902.09,376.0,5.0,4,422.835,none,891.9,3.49,902.09,2.39,,0.0
JSFB,422.35,409.87,791.0,5.0,5,409.976,none,409.87,2.95,,0.0,,0.0
TRIDENT,26.67,25.87,444.0,5.0,3,9.143,none,25.87,3.0,23.33,12.51,18.81,29.47
HEIDELBERG,170.59,165.39,828.0,5.0,4,57.789,hold,164.2,3.74,165.39,3.05,156.24,8.41
GNFC,487.9,472.92,641.0,5.0,6,588.451,none,472.92,3.07,426.56,12.57,342.42,29.82
AARTIDRUGS,380.0,368.26,863.0,5.0,4,148.516,none,351.15,7.59,368.26,3.09,282.3,25.71
IREDA,131.42,127.34,233.0,5.0,5,45.999,none,125.56,4.46,127.34,3.11,,0.0
J&KBANK,99.77,96.63,504.0,5.0,3,135.503,none,96.63,3.15,89.34,10.45,69.8,30.04
IRB,40.76,39.43,297.0,5.0,4,33.286,buy,39.43,3.27,32.02,21.43,34.34,15.76
SUNTV,548.15,529.83,325.0,5.0,6,313.624,none,529.83,3.34,453.33,17.3,403.62,26.37
YESBANK,21.44,20.69,151.0,5.0,3,15.574,none,20.69,3.51,18.64,13.07,-38.61,280.09
GSPL,280.95,270.45,399.0,5.0,6,211.553,none,270.45,3.74,235.07,16.33,250.33,10.9
RAYMONDLSL,1013.0,974.86,690.0,5.0,2,1583.173,strong_buy,974.86,3.77,,0.0,,0.0
PSB,26.79,25.78,345.0,5.0,4,19.443,none,25.78,3.78,19.36,27.73,18.81,29.8
NOCIL,155.01,148.96,975.0,5.0,3,106.684,none,148.96,3.9,137.37,11.38,117.07,24.47
NIACL,158.96,152.65,284.0,5.0,4,265.806,none,152.65,3.97,133.74,15.87,,0.0
CENTRALBK,36.02,34.55,248.0,5.0,4,42.546,none,34.55,4.09,29.29,18.69,19.57,45.66
JKPAPER,348.45,334.23,702.0,5.0,4,323.413,none,334.23,4.08,291.28,16.41,282.15,19.03
SCI,208.98,200.31,545.0,5.0,3,183.101,none,200.31,4.15,179.98,13.88,160.52,23.19
GSFC,169.51,162.43,654.0,5.0,7,312.716,none,162.43,4.18,154.38,8.93,145.99,13.87
MAHABANK,56.38,54.0,207.0,5.0,6,40.826,strong_buy,54.0,4.22,48.61,13.77,42.22,25.12
MAHLIFE,396.8,379.15,583.0,5.0,3,176.525,none,379.15,4.45,309.45,22.01,264.74,33.28
RHIM,437.0,417.25,570.0,5.0,3,193.95,none,417.25,4.52,368.38,15.7,297.8,31.85
GLAND,1666.3,1590.44,276.0,5.0,3,580.47,none,1590.44,4.55,1557.26,6.54,,0.0
OIL,399.85,381.64,161.0,5.0,5,345.697,none,381.64,4.55,294.32,26.39,331.51,17.09
ATUL,5799.5,5524.62,372.0,5.0,4,2009.92,none,5524.62,4.74,4698.5,18.98,4631.49,20.14
CONCOR,498.25,474.56,227.0,5.0,3,168.502,hold,474.56,4.75,366.65,26.41,397.14,20.29
