
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
DSL,2456,M,32.5,59,,10.4,10.22,1.76,0.56,-0.86,2026-09-11,-0.86,2026-09-07,
CLX,886,F,18.25,63,0.74,87.76,84.7,3.61,2.5,,,-31.22,2026-09-11,(Stock Name: Clorox Company (The); Sector: Consumer Defensive; Revenue: 672.0cr; Net Profit: 59.0cr; Recommended: hold; Projected High: 154.0; Projected Medium: 98.0; Projected Low: 77.0)
MZTI,1790,,14.91,53,38.59,104.05,100.2,3.84,3.08,-33.36,2026-09-11,-33.36,2026-09-11,(Stock Name: The Marzetti Company; Sector: Consumer Defensive; Revenue: 193.0cr; Net Profit: 19.0cr; Recommended: buy; Projected High: 185.0; Projected Medium: 140.0; Projected Low: 118.0)
HRL,854,F,33.18,63,14.25,20.57,19.7,4.42,2.06,-2.19,2026-09-11,-2.19,2026-09-11,(Stock Name: Hormel Foods Corporation; Sector: Consumer Defensive; Revenue: 1215.0cr; Net Profit: 34.0cr; Recommended: hold; Projected High: 30.0; Projected Medium: 26.0; Projected Low: 23.0)
KMB,436,F,19.4,39,5.26,98.15,92.42,6.2,2.26,5.84,,5.84,2026-08-14,(Stock Name: Kimberly-Clark Corporation; Sector: Consumer Defensive; Revenue: 1658.0cr; Net Profit: 168.0cr; Recommended: buy; Projected High: 162.0; Projected Medium: 115.0; Projected Low: 90.0)
FXY,,M,,54,,59.68,55.96,6.65,0.4,,,2.4,2026-08-28,
GIS,610,F,,61,10.35,35.85,31.75,12.91,3.47,,,-40.58,2026-09-11,(Stock Name: General Mills. Inc.; Sector: Consumer Defensive; Revenue: 1842.0cr; Net Profit: -9.0cr; Recommended: hold; Projected High: 47.0; Projected Medium: 37.0; Projected Low: 31.0)
BCE,561,F,4.79,61,16,23.39,20.28,15.340000000000002,1.5,13.3,,13.3,2025-08-15,(Stock Name: BCE. Inc.; Sector: Communication Services; Revenue: 2480.0cr; Net Profit: 627.0cr; Recommended: buy; Projected High: 28.989115; Projected Medium: 27.130291; Projected Low: 25.295265)
MKC,773,F,8.54,52,26.02,51.32,44.32,15.790000000000001,2.23,,,-13.21,2026-09-11,(Stock Name: McCormick & Company. Incorporat; Sector: Consumer Defensive; Revenue: 739.0cr; Net Profit: 162.0cr; Recommended: buy; Projected High: 75.0; Projected Medium: 60.0; Projected Low: 52.0)
SNY,162,M,22.63,29,33.6,42.77,36.81,16.189999999999998,1.39,-4.15,2026-09-11,-4.15,2026-09-11,(Stock Name: Sanofi; Sector: Healthcare; Revenue: 4892.0cr; Net Profit: 394.0cr; Recommended: buy; Projected High: 63.0; Projected Medium: 54.5; Projected Low: 45.0)
OTEX,1261,M,8.94,58,16.91,23.06,19.78,16.580000000000002,2.87,1.17,2026-09-11,1.17,2026-09-11,(Stock Name: Open Text Corporation; Sector: Technology; Revenue: 525.0cr; Net Profit: 64.0cr; Recommended: hold; Projected High: 33.0; Projected Medium: 27.0; Projected Low: 25.0)
BCBP,4213,M,,59,14.73,8.58,7.31,17.37,2.48,14.8,2026-01-30,14.8,2026-01-30,(Stock Name: BCB Bancorp. Inc. (NJ); Sector: Financial Services; Revenue: 6.0cr; Net Profit: -2.0cr; Recommended: none; Projected High: 13.25; Projected Medium: 11.0; Projected Low: 11.0)
STZ,582,M,11.67,55,48.15,122.45,104.28,17.419999999999998,3.37,-3.16,2026-09-11,-3.16,2026-09-11,(Stock Name: Constellation Brands. Inc.; Sector: Consumer Defensive; Revenue: 906.0cr; Net Profit: 182.0cr; Recommended: buy; Projected High: 209.0; Projected Medium: 173.0; Projected Low: 115.0)
EEFT,1824,M,11.46,58,32.89,72.18,61.27,17.810000000000002,3.78,-15.32,2026-09-11,-15.32,2026-09-11,(Stock Name: Euronet Worldwide. Inc.; Sector: Technology; Revenue: 437.0cr; Net Profit: 29.0cr; Recommended: none; Projected High: 94.0; Projected Medium: 90.0; Projected Low: 70.0)
CMCSA,188,F,8.08,56,25.31,25.2,21.28,18.42,3.09,4.23,2026-07-31,4.23,2026-07-31,(Stock Name: Comcast Corporation; Sector: Communication Services; Revenue: 12490.0cr; Net Profit: 1120.0cr; Recommended: hold; Projected High: 44.0; Projected Medium: 29.395; Projected Low: 21.0)
IIIV,3744,M,53.62,59,15.38,15.55,13.01,19.52,5.08,,,-11.35,2026-09-07,(Stock Name: i3 Verticals. Inc.; Sector: Technology; Revenue: 29.0cr; Net Profit: -1.0cr; Recommended: none; Projected High: 30.0; Projected Medium: 26.0; Projected Low: 20.0)
COLM,1769,M,14.86,50,31.29,56.92,47.47,19.91,2.24,16.6,,16.6,2026-03-13,(Stock Name: Columbia Sportswear Company; Sector: Consumer Cyclical; Revenue: 341.0cr; Net Profit: 21.0cr; Recommended: none; Projected High: 92.0; Projected Medium: 67.5; Projected Low: 47.0)
UDR,859,M,22.23,42,9.01,35.12,29.2,20.27,1.89,6.21,2026-03-27,4.67,2026-03-13,(Stock Name: UDR. Inc.; Sector: Real Estate; Revenue: 177.0cr; Net Profit: 52.0cr; Recommended: buy; Projected High: 46.0; Projected Medium: 42.0; Projected Low: 38.0)
AVA,1723,M,13.28,31,33.68,36.79,30.53,20.5,1.54,3.51,,3.51,2024-02-09,(Stock Name: Avista Corporation; Sector: Utilities; Revenue: 192.0cr; Net Profit: 23.0cr; Recommended: none; Projected High: 50.0; Projected Medium: 40.5; Projected Low: 37.0)
