[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
DSP,3883,100,10.02 - 11.53,13.1,3,55.0,83.0,11.88,5.39,26.33,69.16,6.07,(Stock Name: Viant Technology Inc.; Sector: Technology; Intrinsic: 5.39; Revenue: 39 cr; Net Profit: 1 cr; Recommended: none; Projected High: 24.0; Projected Medium: 19.0; Projected Low: 17.0; All time high: 69.16 => 83.0%; SMA 200: 11.58 => 2.49%; RSI: 45.85; Day Volatility: 6.07; Week Volatility: 15.78; Month Volatility: 29.35; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.11 => 31.73%; Week Support: 8.11 => 31.73%; Month Support: 8.11 => 31.73%; Day NWE: 10.77 => 9.31%; Week NWE: 7.58 => 36.18%; Month NWE: 0.0 => 100.0%)
MCHX,4870,100,1.43 - 1.64,12.8,-1,43.0,89.0,1.37,0.66,2.4,12.84,10.22,(Stock Name: Marchex, Inc.; Sector: Communication Services; Intrinsic: 0.66; Revenue: 4 cr; Net Profit: -1 cr; Recommended: none; Projected High: 4.0; Projected Medium: 4.0; Projected Low: 4.0; All time high: 12.84 => 89.0%; SMA 200: 1.64 => -19.73%; RSI: 22.49; Day Volatility: 10.22; Week Volatility: 18.52; Month Volatility: 27.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.32 => 3.65%; Week Support: 1.32 => 3.65%; Month Support: 1.26 => 8.03%; Day NWE: 1.49 => -8.86%; Week NWE: 1.32 => 3.3%; Month NWE: 0.66 => 51.89%)
FTCI,5023,100,2.13 - 2.4,11.25,-1,84.0,99.0,2.31,-1.84,14.85,154.6,7.09,(Stock Name: FTC Solar, Inc.; Sector: Technology; Intrinsic: -1.84; Revenue: 10 cr; Net Profit: -5 cr; Recommended: strong_buy; Projected High: 20.0; Projected Medium: 6.0; Projected Low: 3.6; All time high: 154.6 => 99.0%; SMA 200: 5.92 => -156.17%; RSI: 44.9; Day Volatility: 7.09; Week Volatility: 25.96; Month Volatility: 96.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.13 => 7.79%; Week Support: 2.13 => 7.79%; Month Support: 1.76 => 23.81%; Day NWE: 1.21 => 47.82%; Week NWE: -0.29 => 112.63%; Month NWE: 0.0 => 100.0%)
BIOX,5188,100,0.37 - 0.4,8.0,-3,97.0,98.0,0.36,4.08,14.05,17.94,11.39,(Stock Name: Bioceres Crop Solutions Corp.; Sector: Basic Materials; Intrinsic: 4.08; Revenue: 24 cr; Net Profit: -5 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 17.94 => 98.0%; SMA 200: 0.64 => -77.21%; RSI: 37.6; Day Volatility: 11.39; Week Volatility: 25.85; Month Volatility: 57.1; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 10.1 => -2705.56%; Month Support: 9.27 => -2475.0%; Day NWE: 0.33 => 8.46%; Week NWE: -1.12 => 410.92%; Month NWE: -1.38 => 482.44%)
HELP,2700,100,14.02 - 15.15,7.46,-3,56.0,90.0,12.37,3.91,28.04,128.44,9.56,
STUB,2017,100,5.94 - 6.4,7.19,0,79.0,79.0,5.92,4.27,27.89,27.89,4.09,(Stock Name: StubHub Holdings, Inc.; Sector: Communication Services; Intrinsic: 4.27; Revenue: 194 cr; Net Profit: -185 cr; Recommended: buy; Projected High: 16.0; Projected Medium: 11.0; Projected Low: 7.0; All time high: 27.89 => 79.0%; SMA 200: 9.62 => -62.58%; RSI: 31.59; Day Volatility: 4.09; Week Volatility: 17.52; Month Volatility: 58.3; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.74 => 3.04%; Week Support: 5.74 => 3.04%; Month Support: 0.0 => 100.0%; Day NWE: 3.78 => 36.14%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
FWDI,3090,100,6.2 - 6.68,7.19,-1,83.0,87.0,7.7,6.42,46.0,57.5,7.92,(Stock Name: Forward Industries, Inc.; Sector: Consumer Cyclical; Intrinsic: 6.42; Revenue: 5 cr; Net Profit: -110 cr; Recommended: strong_buy; Projected High: 16.0; Projected Medium: 9.0; Projected Low: 8.5; All time high: 57.5 => 87.0%; SMA 200: 5.31 => 31.07%; RSI: 67.52; Day Volatility: 7.92; Week Volatility: 15.53; Month Volatility: 22.1; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.32 => 56.88%; Week Support: 3.32 => 56.88%; Month Support: 3.1 => 59.74%; Day NWE: 5.56 => 27.85%; Week NWE: -1.36 => 117.7%; Month NWE: -1.31 => 117.05%)
PURR,1811,100,12.83 - 13.82,7.16,2,0.0,3.0,14.09,5.99,14.14,14.47,7.83,(Stock Name: Hyperliquid Strategies Inc; Sector: Financial Services; Intrinsic: 5.99; Revenue: 1 cr; Net Profit: 26 cr; Recommended: strong_buy; Projected High: 34.2; Projected Medium: 19.0; Projected Low: 17.0; All time high: 14.47 => 3.0%; SMA 200: 0.0 => 100.0%; RSI: 68.84; Day Volatility: 7.83; Week Volatility: 17.47; Month Volatility: 28.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 9.54 => 32.29%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
BNC,3900,100,5.42 - 5.83,7.03,1,93.0,100.0,5.98,7.03,82.88,15714.0,8.79,(Stock Name: CEA Industries Inc.; Sector: Industrials; Intrinsic: 7.03; Revenue: 3 cr; Net Profit: 11 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 15714.0 => 100.0%; SMA 200: 3.78 => 36.71%; RSI: 72.27; Day Volatility: 8.79; Week Volatility: 13.53; Month Volatility: 24.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.22 => -4.01%; Week Support: 6.22 => -4.01%; Month Support: 5.6 => 6.35%; Day NWE: 3.68 => 38.47%; Week NWE: -1.83 => 130.64%; Month NWE: -13.8 => 330.75%)
SPRU,5037,100,1.63 - 1.75,6.86,-3,72.0,99.0,1.91,6.25,6.75,280.0,8.9,(Stock Name: Spruce Power Holding Corporatio; Sector: Technology; Intrinsic: 6.25; Revenue: 11 cr; Net Profit: -1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 280.0 => 99.0%; SMA 200: 3.54 => -85.4%; RSI: 53.71; Day Volatility: 8.9; Week Volatility: 20.01; Month Volatility: 45.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.13 => 40.84%; Week Support: 1.13 => 40.84%; Month Support: 1.13 => 40.84%; Day NWE: 1.25 => 34.45%; Week NWE: 0.63 => 66.83%; Month NWE: 0.0 => 100.0%)
NUAI,3012,100,5.81 - 6.22,6.67,-3,52.0,52.0,5.86,1.3,12.29,12.29,7.26,(Stock Name: New Era Energy & Digital, Inc.; Sector: Technology; Intrinsic: 1.3; Revenue: 0 cr; Net Profit: -5 cr; Recommended: none; Projected High: 12.0; Projected Medium: 11.0; Projected Low: 10.0; All time high: 12.29 => 52.0%; SMA 200: 4.86 => 17.11%; RSI: 56.0; Day Volatility: 7.26; Week Volatility: 16.92; Month Volatility: 38.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.32 => 94.52%; Week Support: 0.32 => 94.52%; Month Support: 0.32 => 94.52%; Day NWE: 4.29 => 26.74%; Week NWE: 2.07 => 64.72%; Month NWE: 0.0 => 100.0%)
