[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
SAFE,2675,100,1.0,3,13.14,0.09,6.79,199.77,2.95,(Stock Name: Safehold Inc. New; Sector: Real Estate; Intrinsic: 34.33; Revenue: 44 cr; Net Profit: 12 cr; Recommended: hold; Projected High: 28.0; Projected Medium: 17.0; Projected Low: 13.0; All time high: 135.08 => 90.0%; SMA 200: 15.02 => -14.27%; RSI: 19.85; Day Volatility: 2.95; Week Volatility: 6.97; Month Volatility: 17.13; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.76 => 2.89%; Week Support: 12.76 => 2.89%; Month Support: 12.76 => 2.89%; Day NWE: 13.13 => 0.09%; Week NWE: 12.25 => 6.79%; Month NWE: -13.11 => 199.77%)
PEP,91,100,1.0,4,129.75,0.16,5.53,3.62,1.46,(Stock Name: Pepsico, Inc.; Sector: Consumer Defensive; Intrinsic: 16.18; Revenue: 9690 cr; Net Profit: 1045 cr; Recommended: hold; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0; All time high: 196.88 => 34.0%; SMA 200: 148.24 => -14.25%; RSI: 25.35; Day Volatility: 1.46; Week Volatility: 3.66; Month Volatility: 10.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 136.01 => -4.82%; Week Support: 136.01 => -4.82%; Month Support: 127.6 => 1.66%; Day NWE: 129.54 => 0.16%; Week NWE: 122.57 => 5.53%; Month NWE: 125.05 => 3.62%)
STC,2111,100,1.0,3,63.16,0.17,5.62,16.56,2.76,(Stock Name: Stewart Information Services Co; Sector: Financial Services; Intrinsic: 54.63; Revenue: 327 cr; Net Profit: 13 cr; Recommended: none; Projected High: 91.0; Projected Medium: 83.5; Projected Low: 71.0; All time high: 81.0 => 22.0%; SMA 200: 67.7 => -7.19%; RSI: 30.37; Day Volatility: 2.76; Week Volatility: 4.74; Month Volatility: 14.47; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 57.11 => 9.58%; Week Support: 57.11 => 9.58%; Month Support: 56.39 => 10.72%; Day NWE: 63.05 => 0.17%; Week NWE: 59.61 => 5.62%; Month NWE: 52.7 => 16.56%)
NLY,678,100,1.0,5,21.05,0.22,2.16,23.86,2.25,(Stock Name: Annaly Capital Management Inc.; Sector: Real Estate; Intrinsic: 20.15; Revenue: 325 cr; Net Profit: 279 cr; Recommended: buy; Projected High: 25.0; Projected Medium: 24.0; Projected Low: 22.5; All time high: 75.16 => 72.0%; SMA 200: 22.54 => -7.06%; RSI: 23.45; Day Volatility: 2.25; Week Volatility: 3.55; Month Volatility: 9.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.6 => 21.14%; Week Support: 16.6 => 21.14%; Month Support: 16.6 => 21.14%; Day NWE: 21.0 => 0.22%; Week NWE: 20.6 => 2.16%; Month NWE: 16.03 => 23.86%)
IVR,2898,100,1.0,1,6.45,0.22,0.32,384.11,2.7,(Stock Name: INVESCO MORTGAGE CAPITAL INC; Sector: Real Estate; Intrinsic: 8.08; Revenue: 14 cr; Net Profit: 11 cr; Recommended: hold; Projected High: 9.5; Projected Medium: 7.75; Projected Low: 7.25; All time high: 240.7 => 97.0%; SMA 200: 8.06 => -25.03%; RSI: 20.3; Day Volatility: 2.7; Week Volatility: 5.27; Month Volatility: 10.94; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.1 => -10.08%; Week Support: 7.1 => -10.08%; Month Support: 5.86 => 9.15%; Day NWE: 6.44 => 0.22%; Week NWE: 6.43 => 0.32%; Month NWE: -18.32 => 384.11%)
RNA,4178,100,1.0,0,10.36,0.28,,,9.43,(Stock Name: Atrium Therapeutics, Inc.; Sector: Healthcare; Intrinsic: 12.54; Revenue: 4 cr; Net Profit: -7 cr; Recommended: none; Projected High: 25.0; Projected Medium: 25.0; Projected Low: 25.0; All time high: 16.77 => 38.0%; SMA 200: 0.0 => 100.0%; RSI: 31.18; Day Volatility: 9.43; Week Volatility: 14.86; Month Volatility: 29.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 10.33 => 0.28%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
DYNC,4167,100,1.0,-3,10.88,0.3,,,0.07,
LMNR,3964,100,1.0,-3,12.73,0.32,17.67,38.64,4.32,(Stock Name: Limoneira Co; Sector: Consumer Defensive; Intrinsic: 7.43; Revenue: 13 cr; Net Profit: -4 cr; Recommended: buy; Projected High: 31.0; Projected Medium: 16.5; Projected Low: 15.0; All time high: 33.42 => 62.0%; SMA 200: 13.53 => -6.26%; RSI: 36.95; Day Volatility: 4.32; Week Volatility: 10.08; Month Volatility: 13.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.2 => 4.16%; Week Support: 12.2 => 4.16%; Month Support: 10.44 => 17.99%; Day NWE: 12.69 => 0.32%; Week NWE: 10.48 => 17.67%; Month NWE: 7.81 => 38.64%)
MCGA,4155,100,1.0,-3,10.34,0.32,,,0.11,
DBRG,1756,100,1.0,2,15.88,0.4,16.74,54.82,0.26,(Stock Name: DigitalBridge Group, Inc.; Sector: Financial Services; Intrinsic: 8.31; Revenue: 63 cr; Net Profit: 29 cr; Recommended: none; Projected High: 16.0; Projected Medium: 16.0; Projected Low: 16.0; All time high: 99.64 => 84.0%; SMA 200: 15.41 => 2.96%; RSI: 45.34; Day Volatility: 0.26; Week Volatility: 0.53; Month Volatility: 1.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.94 => 43.7%; Week Support: 8.94 => 43.7%; Month Support: 6.41 => 59.63%; Day NWE: 15.82 => 0.4%; Week NWE: 13.22 => 16.74%; Month NWE: 7.18 => 54.82%)
MAA,747,100,1.0,4,118.93,0.41,0.96,18.26,2.07,(Stock Name: Mid-America Apartment Communiti; Sector: Real Estate; Intrinsic: 46.84; Revenue: 222 cr; Net Profit: 40 cr; Recommended: hold; Projected High: 160.0; Projected Medium: 142.0; Projected Low: 121.0; All time high: 231.63 => 49.0%; SMA 200: 131.8 => -10.82%; RSI: 22.52; Day Volatility: 2.07; Week Volatility: 3.8; Month Volatility: 9.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 120.3 => -1.15%; Week Support: 120.3 => -1.15%; Month Support: 115.56 => 2.83%; Day NWE: 118.44 => 0.41%; Week NWE: 117.78 => 0.96%; Month NWE: 97.21 => 18.26%)
