[RSI - Below 30 List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Week RSI,Volatility%,Details
SITC,4257,100,1.0,3,2.95,20.00765733069196,5.42,(Stock Name: SITE Centers Corp.; Sector: Real Estate; Intrinsic: 5.38; Revenue: 7 cr; Net Profit: 13 cr; Recommended: none; Projected High: 3.5; Projected Medium: 3.5; Projected Low: 3.5; All time high: 40.09 => 93.0%; SMA 200: 12.64 => -328.34%; RSI: 20.01; Day Volatility: 5.42; Week Volatility: 5.42; Month Volatility: 22.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 10.45 => -254.41%; Week Support: 10.45 => -254.41%; Month Support: 12.95 => -338.92%; Day NWE: 0.97 => 67.17%; Week NWE: 0.97 => 67.17%; Month NWE: 0.46 => 84.3%)
BRSP,3147,100,1.0,-3,4.15,21.39465794010153,5.83,(Stock Name: BrightSpire Capital, Inc.; Sector: Real Estate; Intrinsic: 6.81; Revenue: 33 cr; Net Profit: -3 cr; Recommended: none; Projected High: 7.0; Projected Medium: 6.5; Projected Low: 5.25; All time high: 23.23 => 82.0%; SMA 200: 5.99 => -44.43%; RSI: 21.39; Day Volatility: 5.83; Week Volatility: 5.83; Month Volatility: 13.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.16 => -0.24%; Week Support: 4.16 => -0.24%; Month Support: 4.16 => -0.24%; Day NWE: 4.24 => -2.12%; Week NWE: 4.24 => -2.12%; Month NWE: 3.96 => 4.63%)
ELME,4292,100,1.0,-2,1.66,21.646477883665916,2.75,(Stock Name: Elme Communities; Sector: Real Estate; Intrinsic: 10.31; Revenue: 25 cr; Net Profit: -19 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 34.61 => 95.0%; SMA 200: 13.42 => -708.34%; RSI: 21.65; Day Volatility: 2.75; Week Volatility: 2.75; Month Volatility: 15.66; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.95 => -740.36%; Week Support: 13.95 => -740.36%; Month Support: 12.44 => -649.4%; Day NWE: -1.91 => 214.88%; Week NWE: -1.91 => 214.88%; Month NWE: -0.16 => 109.34%)
MNSO,1883,100,1.0,4,8.6,21.719547267104637,9.11,(Stock Name: MINISO Group Holding Limited; Sector: Consumer Cyclical; Intrinsic: 5.12; Revenue: 2355 cr; Net Profit: 126 cr; Recommended: buy; Projected High: 21.219202; Projected Medium: 14.563087; Projected Low: 10.850082; All time high: 35.21 => 76.0%; SMA 200: 18.63 => -116.57%; RSI: 21.72; Day Volatility: 9.11; Week Volatility: 9.11; Month Volatility: 28.84; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.94 => -62.15%; Week Support: 13.94 => -62.15%; Month Support: 12.51 => -45.47%; Day NWE: 6.26 => 27.23%; Week NWE: 6.26 => 27.23%; Month NWE: 0.0 => 100.0%)
RCON,5857,100,1.0,-1,1.3,21.99379505718134,117.8,(Stock Name: Recon Technology, Ltd.; Sector: Energy; Intrinsic: 3.45; Revenue: 11 cr; Net Profit: -3 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 144000.0 => 100.0%; SMA 200: 891.74 => -68495.67%; RSI: 21.99; Day Volatility: 117.8; Week Volatility: 117.8; Month Volatility: 6515.17; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 280.0 => -21438.46%; Week Support: 280.0 => -21438.46%; Month Support: 252.0 => -19284.62%; Day NWE: -132.94 => 10326.38%; Week NWE: -132.94 => 10326.38%; Month NWE: -7433.16 => 571881.62%)
FRVO,1373,100,1.0,-2,16.91,22.214218393321858,25.2,(Stock Name: Fervo Energy Company; Sector: Utilities; Intrinsic: 9.48; Revenue: 0 cr; Net Profit: -14 cr; Recommended: strong_buy; Projected High: 51.0; Projected Medium: 44.0; Projected Low: 25.0; All time high: 42.65 => 60.0%; SMA 200: 0.0 => 100.0%; RSI: 22.21; Day Volatility: 25.2; Week Volatility: 25.2; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 0.0 => 100.0%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
PRPL,5372,100,1.0,-3,3.19,22.618030262893576,48.66,(Stock Name: Purple Innovation, Inc.; Sector: Consumer Cyclical; Intrinsic: -14.65; Revenue: 45 cr; Net Profit: -5 cr; Recommended: none; Projected High: 25.0; Projected Medium: 25.0; Projected Low: 25.0; All time high: 1027.0 => 100.0%; SMA 200: 36.71 => -1050.63%; RSI: 22.62; Day Volatility: 48.66; Week Volatility: 48.66; Month Volatility: 121.34; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.0 => -338.87%; Week Support: 14.0 => -338.87%; Month Support: 14.0 => -338.87%; Day NWE: -0.39 => 112.13%; Week NWE: -0.39 => 112.13%; Month NWE: -7.69 => 341.06%)
NATR,3970,100,1.0,2,13.02,22.98965402414983,7.88,(Stock Name: Nature's Sunshine Products, Inc; Sector: Consumer Defensive; Intrinsic: 9.61; Revenue: 49 cr; Net Profit: 2 cr; Recommended: none; Projected High: 36.0; Projected Medium: 30.5; Projected Low: 25.0; All time high: 28.14 => 54.0%; SMA 200: 16.09 => -23.6%; RSI: 22.99; Day Volatility: 7.88; Week Volatility: 7.88; Month Volatility: 33.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.97 => 0.38%; Week Support: 12.97 => 0.38%; Month Support: 10.81 => 16.97%; Day NWE: 11.35 => 12.79%; Week NWE: 11.35 => 12.79%; Month NWE: 13.93 => -7.0%)
DKS,1061,100,1.0,5,121.15,23.041437975769284,17.72,(Stock Name: Dick's Sporting Goods Inc; Sector: Consumer Cyclical; Intrinsic: 64.24; Revenue: 2115 cr; Net Profit: 84 cr; Recommended: buy; Projected High: 241.0; Projected Medium: 170.0; Projected Low: 99.0; All time high: 254.6 => 52.0%; SMA 200: 183.0 => -51.05%; RSI: 23.04; Day Volatility: 17.72; Week Volatility: 17.72; Month Volatility: 33.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 186.67 => -54.08%; Week Support: 186.67 => -54.08%; Month Support: 166.37 => -37.33%; Day NWE: 131.45 => -8.5%; Week NWE: 131.45 => -8.5%; Month NWE: 152.21 => -25.64%)
PZZA,2966,100,1.0,1,19.78,23.04721589495548,9.28,(Stock Name: Papa John's International, Inc.; Sector: Consumer Cyclical; Intrinsic: -13.76; Revenue: 197 cr; Net Profit: 3 cr; Recommended: none; Projected High: 43.0; Projected Medium: 27.0; Projected Low: 24.0; All time high: 140.68 => 86.0%; SMA 200: 53.8 => -172.01%; RSI: 23.05; Day Volatility: 9.28; Week Volatility: 9.28; Month Volatility: 36.39; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 29.55 => -49.39%; Week Support: 29.55 => -49.39%; Month Support: 30.16 => -52.48%; Day NWE: 15.12 => 23.56%; Week NWE: 15.12 => 23.56%; Month NWE: 7.65 => 61.32%)
HE,2223,100,1.0,3,9.8,23.473699216088182,7.13,(Stock Name: Hawaiian Electric Industries, I; Sector: Utilities; Intrinsic: 10.21; Revenue: 328 cr; Net Profit: 22 cr; Recommended: underperform; Projected High: 12.0; Projected Medium: 10.375; Projected Low: 7.0; All time high: 55.15 => 82.0%; SMA 200: 16.98 => -73.24%; RSI: 23.47; Day Volatility: 7.13; Week Volatility: 7.13; Month Volatility: 18.47; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.14 => 16.94%; Week Support: 8.14 => 16.94%; Month Support: 7.61 => 22.35%; Day NWE: 9.81 => -0.12%; Week NWE: 9.81 => -0.12%; Month NWE: 3.48 => 64.52%)
