
[Long Strangle - Buy OTM Call and OTM Put - Long Expiry]
Symbol,Beta,Last Change %,Volatility%,days,Strength,Rank,Intrinsic,PE,LTP,Call Strike,Call Premium,Put Strike,Put Premium,Total Premium,Total Premium %,Details
COR,0.574,-1.11,1.63,373,M,297,15.988,24.1,324.69,330,41,230,5.9,4690,16.08,(Stock Name: Cencora. Inc.; Sector: Healthcare; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 15.99; Revenue: 33277.0cr; Net Profit: 262.0cr; Recommended: buy; Projected High: 430.0; Projected Medium: 370.0; Projected Low: 330.0; All time high: 377.54 => 14.0%; SMA 200: 321.92 => 0.85%; RSI: 59.1; Day Volatility: 1.63; Week Volatility: 5.64; Month Volatility: 12.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 135.14 => 58.38%; Month Support: 72.06 => 77.81%; Day NWE: 301.57 => 7.12%; Week NWE: 265.44 => 18.25%; Month NWE: 274.57 => 15.44%)
GLD,,-1.3599999999999999,1.53,281,S,173,170.017,,399.72,400,40.7,395,26.25,6695,16.82,
PEP,0.361,-1.63,1.36,281,M,95,16.177,18.17,138.45,140,12.5,135,9.3,2180,16.869999999999997,(Stock Name: Pepsico. Inc.; Sector: Consumer Defensive; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 16.18; Revenue: 9690.0cr; Net Profit: 1045.0cr; Recommended: hold; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0; All time high: 196.88 => 30.0%; SMA 200: 148.78 => -7.46%; RSI: 42.03; Day Volatility: 1.36; Week Volatility: 3.91; Month Volatility: 9.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 136.01 => 1.76%; Week Support: 136.01 => 1.76%; Month Support: 127.6 => 7.84%; Day NWE: 134.35 => 2.96%; Week NWE: 124.86 => 9.81%; Month NWE: 125.98 => 9.01%)
GD,0.321,-1.17,2.03,281,F,192,99.3,21.76,356.58,360,33.4,350,25.1,5850,17.36,(Stock Name: General Dynamics Corporation; Sector: Industrials; Strength: F - Large Cap / Blue-chip ; Intrinsic: 99.3; Revenue: 5486.0cr; Net Profit: 449.0cr; Recommended: buy; Projected High: 465.0; Projected Medium: 430.0; Projected Low: 319.0; All time high: 400.0 => 11.0%; SMA 200: 354.53 => 0.57%; RSI: 31.03; Day Volatility: 2.03; Week Volatility: 4.82; Month Volatility: 8.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 239.2 => 32.92%; Week Support: 239.2 => 32.92%; Month Support: 239.2 => 32.92%; Day NWE: 352.65 => 1.1%; Week NWE: 339.76 => 4.72%; Month NWE: 299.23 => 16.08%)
V,0.761,-1.02,1.35,281,M,25,18.87,31.4,368.64,370,37.1,365,26.15,6325,17.53,(Stock Name: Visa Inc.; Sector: Financial Services; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 18.87; Revenue: 4449.0cr; Net Profit: 2240.0cr; Recommended: strong_buy; Projected High: 466.0; Projected Medium: 422.0; Projected Low: 330.0; All time high: 385.57 => 4.0%; SMA 200: 334.07 => 9.38%; RSI: 54.97; Day Volatility: 1.35; Week Volatility: 3.47; Month Volatility: 7.87; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 293.89 => 20.28%; Week Support: 293.89 => 20.28%; Month Support: 174.6 => 52.64%; Day NWE: 359.07 => 2.6%; Week NWE: 322.29 => 12.57%; Month NWE: 298.15 => 19.12%)
GLD,,-1.3599999999999999,1.53,294,S,173,170.017,,399.72,400,41.9,398,28.3,7020,17.630000000000003,
NVS,0.49,-1.96,1.33,281,F,49,21.856,20.8,137.7,140,12,135,10.2,2220,17.79,(Stock Name: Novartis AG; Sector: Healthcare; Strength: F - Fundamentals-driven (stable. earnings-based); Intrinsic: 21.86; Revenue: 5669.0cr; Net Profit: 1276.0cr; Recommended: hold; Projected High: 185.0; Projected Medium: 160.15; Projected Low: 123.0; All time high: 170.46 => 19.0%; SMA 200: 149.72 => -8.73%; RSI: 55.17; Day Volatility: 1.33; Week Volatility: 5.14; Month Volatility: 7.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 96.06 => 30.24%; Month Support: 74.09 => 46.19%; Day NWE: 150.54 => -9.33%; Week NWE: 140.45 => -1.99%; Month NWE: 130.36 => 5.33%)
D,0.622,-1.47,1.62,281,M,324,31.74,22.91,66.22,70,3.9,65,4.6,850,18.54,(Stock Name: Dominion Energy. Inc.; Sector: Utilities; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 31.74; Revenue: 1812.0cr; Net Profit: 251.0cr; Recommended: hold; Projected High: 80.0; Projected Medium: 70.0; Projected Low: 66.0; All time high: 90.89 => 27.0%; SMA 200: 64.12 => 3.18%; RSI: 38.47; Day Volatility: 1.62; Week Volatility: 3.94; Month Volatility: 7.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 55.85 => 15.66%; Week Support: 55.85 => 15.66%; Month Support: 39.18 => 40.83%; Day NWE: 63.69 => 3.81%; Week NWE: 63.34 => 4.36%; Month NWE: 52.28 => 21.05%)
PEP,0.361,-1.63,1.36,373,M,95,16.177,18.17,138.45,140,13.2,135,10.95,2415,18.56,(Stock Name: Pepsico. Inc.; Sector: Consumer Defensive; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 16.18; Revenue: 9690.0cr; Net Profit: 1045.0cr; Recommended: hold; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0; All time high: 196.88 => 30.0%; SMA 200: 148.78 => -7.46%; RSI: 42.03; Day Volatility: 1.36; Week Volatility: 3.91; Month Volatility: 9.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 136.01 => 1.76%; Week Support: 136.01 => 1.76%; Month Support: 127.6 => 7.84%; Day NWE: 134.35 => 2.96%; Week NWE: 124.86 => 9.81%; Month NWE: 125.98 => 9.01%)
TSN,0.371,-1.28,2.21,281,F,788,51.39,32.27,52.28,52.5,5.8,50,3.9,969.9999999999999,18.970000000000002,(Stock Name: Tyson Foods. Inc.; Sector: Consumer Defensive; Strength: F - Mega / Large Cap / Core Holdings ; Intrinsic: 51.39; Revenue: 5569.0cr; Net Profit: 57.0cr; Recommended: hold; Projected High: 78.0; Projected Medium: 67.5; Projected Low: 56.0; All time high: 100.72 => 48.0%; SMA 200: 60.47 => -15.67%; RSI: 26.35; Day Volatility: 2.21; Week Volatility: 7.98; Month Volatility: 11.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 50.56 => 3.29%; Week Support: 50.56 => 3.29%; Month Support: 50.56 => 3.29%; Day NWE: 51.31 => 1.86%; Week NWE: 50.64 => 3.14%; Month NWE: 39.94 => 23.61%)
JNJ,0.235,-1.1900000000000002,1.69,281,F,22,35.284,31.26,269.12,280,23,260,18,4100,19.28,(Stock Name: Johnson & Johnson; Sector: Healthcare; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 35.28; Revenue: 9793.0cr; Net Profit: 2104.0cr; Recommended: buy; Projected High: 320.0; Projected Medium: 281.0; Projected Low: 190.0; All time high: 281.07 => 4.0%; SMA 200: 235.82 => 12.37%; RSI: 60.57; Day Volatility: 1.69; Week Volatility: 5.44; Month Volatility: 8.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 140.68 => 47.73%; Month Support: 140.68 => 47.73%; Day NWE: 255.16 => 5.19%; Week NWE: 231.52 => 13.97%; Month NWE: 203.84 => 24.26%)
JNJ,0.235,-1.1900000000000002,1.69,373,F,22,35.284,31.26,269.12,270,31.85,260,20.45,5230,19.759999999999998,(Stock Name: Johnson & Johnson; Sector: Healthcare; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 35.28; Revenue: 9793.0cr; Net Profit: 2104.0cr; Recommended: buy; Projected High: 320.0; Projected Medium: 281.0; Projected Low: 190.0; All time high: 281.07 => 4.0%; SMA 200: 235.82 => 12.37%; RSI: 60.57; Day Volatility: 1.69; Week Volatility: 5.44; Month Volatility: 8.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 140.68 => 47.73%; Month Support: 140.68 => 47.73%; Day NWE: 255.16 => 5.19%; Week NWE: 231.52 => 13.97%; Month NWE: 203.84 => 24.26%)
KHC,0.082,-1.67,2.46,373,F,504,30.359,,24.9,25,3.05,22.5,1.89,493.99999999999994,20.24,(Stock Name: The Kraft Heinz Company; Sector: Consumer Defensive; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 30.36; Revenue: 2490.0cr; Net Profit: -340.0cr; Recommended: hold; Projected High: 41.0; Projected Medium: 25.0; Projected Low: 19.0; All time high: 97.77 => 75.0%; SMA 200: 24.03 => 3.49%; RSI: 44.78; Day Volatility: 2.46; Week Volatility: 6.96; Month Volatility: 11.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.03 => 15.52%; Week Support: 21.03 => 15.52%; Month Support: 30.68 => -23.21%; Day NWE: 23.82 => 4.35%; Week NWE: 21.9 => 12.04%; Month NWE: 18.9 => 24.11%)
GLD,,-1.3599999999999999,1.53,373,S,173,170.017,,399.72,400,49.3,395,31.65,8094.999999999999,20.32,
IAU,,-1.37,1.51,281,M,224,34.616,,81.95,83,10.1,81,5.5,1560,20.32,
KMB,0.273,-1.3299999999999998,2.02,281,F,453,5.262,20.34,102.93,105,9.3,100,9.6,1889.9999999999998,20.369999999999997,(Stock Name: Kimberly-Clark Corporation; Sector: Consumer Defensive; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 5.26; Revenue: 1658.0cr; Net Profit: 168.0cr; Recommended: none; Projected High: 162.0; Projected Medium: 115.0; Projected Low: 90.0; All time high: 160.16 => 36.0%; SMA 200: 103.24 => -0.3%; RSI: 39.45; Day Volatility: 2.02; Week Volatility: 4.56; Month Volatility: 9.71; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 92.42 => 10.21%; Week Support: 92.42 => 10.21%; Month Support: 116.32 => -13.01%; Day NWE: 103.4 => -0.46%; Week NWE: 93.64 => 9.03%; Month NWE: 90.52 => 12.06%)
BMY,0.227,-1.25,1.78,373,F,129,10.925,14.25,64.69,65,9,55,3.95,1295,20.5,(Stock Name: Bristol-Myers Squibb Company; Sector: Healthcare; Strength: F - Mega / Blue-chip / Strong Financials; Intrinsic: 10.93; Revenue: 4919.0cr; Net Profit: 928.0cr; Recommended: buy; Projected High: 80.0; Projected Medium: 68.0; Projected Low: 40.0; All time high: 81.44 => 21.0%; SMA 200: 58.14 => 10.13%; RSI: 56.48; Day Volatility: 1.78; Week Volatility: 4.93; Month Volatility: 8.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 42.52 => 34.27%; Week Support: 42.52 => 34.27%; Month Support: 42.52 => 34.27%; Day NWE: 63.33 => 2.1%; Week NWE: 54.27 => 16.1%; Month NWE: 44.57 => 31.11%)
KHC,0.082,-1.67,2.46,281,F,504,30.359,,24.9,25,3.1,22.5,2,509.99999999999994,20.880000000000003,(Stock Name: The Kraft Heinz Company; Sector: Consumer Defensive; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 30.36; Revenue: 2490.0cr; Net Profit: -340.0cr; Recommended: hold; Projected High: 41.0; Projected Medium: 25.0; Projected Low: 19.0; All time high: 97.77 => 75.0%; SMA 200: 24.03 => 3.49%; RSI: 44.78; Day Volatility: 2.46; Week Volatility: 6.96; Month Volatility: 11.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.03 => 15.52%; Week Support: 21.03 => 15.52%; Month Support: 30.68 => -23.21%; Day NWE: 23.82 => 4.35%; Week NWE: 21.9 => 12.04%; Month NWE: 18.9 => 24.11%)
PEP,0.361,-1.63,1.36,499,M,95,16.177,18.17,138.45,140,15.3,135,12.4,2770.0000000000005,21.13,(Stock Name: Pepsico. Inc.; Sector: Consumer Defensive; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 16.18; Revenue: 9690.0cr; Net Profit: 1045.0cr; Recommended: hold; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0; All time high: 196.88 => 30.0%; SMA 200: 148.78 => -7.46%; RSI: 42.03; Day Volatility: 1.36; Week Volatility: 3.91; Month Volatility: 9.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 136.01 => 1.76%; Week Support: 136.01 => 1.76%; Month Support: 127.6 => 7.84%; Day NWE: 134.35 => 2.96%; Week NWE: 124.86 => 9.81%; Month NWE: 125.98 => 9.01%)
ICE,0.934,-1.49,1.99,281,F,203,52.676,22.22,157.76,160,17.9,155,13.6,3150,21.39,(Stock Name: Intercontinental Exchange Inc.; Sector: Financial Services; Strength: F - Large / Blue-chip / Leaders ; Intrinsic: 52.68; Revenue: 1056.0cr; Net Profit: 404.0cr; Recommended: strong_buy; Projected High: 232.0; Projected Medium: 182.0; Projected Low: 163.0; All time high: 189.35 => 17.0%; SMA 200: 155.23 => 1.61%; RSI: 59.94; Day Volatility: 1.99; Week Volatility: 4.83; Month Volatility: 11.59; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 143.17 => 9.25%; Week Support: 143.17 => 9.25%; Month Support: 88.6 => 43.84%; Day NWE: 147.83 => 6.3%; Week NWE: 127.35 => 19.28%; Month NWE: 131.87 => 16.41%)
SPGI,1.077,-2.7,2.62,281,F,138,106.855,26.16,429.31,430,54.7,420,36.9,9160,21.5,(Stock Name: S&P Global Inc.; Sector: Financial Services; Strength: F - Tech / Quality Growth ; Intrinsic: 106.86; Revenue: 1612.0cr; Net Profit: 492.0cr; Recommended: strong_buy; Projected High: 553.0; Projected Medium: 525.0; Projected Low: 485.0; All time high: 579.05 => 26.0%; SMA 200: 448.65 => -4.51%; RSI: 57.62; Day Volatility: 2.62; Week Volatility: 5.94; Month Volatility: 9.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 427.14 => 0.51%; Week Support: 427.14 => 0.51%; Month Support: 279.32 => 34.94%; Day NWE: 405.77 => 5.48%; Week NWE: 369.19 => 14.0%; Month NWE: 364.15 => 15.18%)
