[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
ADCT,4354,100,1.0,-2,1.05,0.0,0.0,0.0,9.4,(Stock Name: ADC Therapeutics SA; Sector: Healthcare; Intrinsic: -1.79; Revenue: 8 cr; Net Profit: -10 cr; Recommended: none; Projected High: 5.0; Projected Medium: 3.0; Projected Low: 2.0; All time high: 56.59 => 98.0%; SMA 200: 2.83 => -169.07%; RSI: 42.12; Day Volatility: 9.4; Week Volatility: 20.27; Month Volatility: 103.28; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.05 => 0.0%; Week Support: 1.05 => 0.0%; Month Support: 1.05 => 0.0%; Day NWE: 0.46 => 56.64%; Week NWE: -0.11 => 110.44%; Month NWE: 0.0 => 100.0%)
IMMP,4969,100,1.0,1,0.29,0.0,0.0,-355.17,9.36,(Stock Name: Immutep Limited; Sector: Healthcare; Intrinsic: 0.3; Revenue: 2 cr; Net Profit: -8 cr; Recommended: none; Projected High: 1.5; Projected Medium: 1.5; Projected Low: 1.5; All time high: 25.5 => 99.0%; SMA 200: 1.22 => -319.86%; RSI: 27.91; Day Volatility: 9.36; Week Volatility: 15.39; Month Volatility: 183.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.29 => 0.0%; Week Support: 0.29 => 0.0%; Month Support: 1.32 => -355.17%; Day NWE: 0.28 => 4.33%; Week NWE: -0.37 => 228.51%; Month NWE: -0.25 => 187.44%)
ITP,5764,100,1.0,-2,0.16,0.0,0.0,6.25,5.36,(Stock Name: IT Tech Packaging, Inc.; Sector: Basic Materials; Intrinsic: 8.96; Revenue: 8 cr; Net Profit: -1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 151.5 => 100.0%; SMA 200: 0.2 => -23.44%; RSI: 41.75; Day Volatility: 5.36; Week Volatility: 13.24; Month Volatility: 38.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.16 => 0.0%; Week Support: 0.16 => 0.0%; Month Support: 0.15 => 6.25%; Day NWE: 0.14 => 9.81%; Week NWE: 0.1 => 40.51%; Month NWE: -2.17 => 1459.01%)
TBBK,2055,100,1.0,3,50.23,0.06,0.06,40.43,2.71,(Stock Name: The Bancorp, Inc.; Sector: Financial Services; Intrinsic: 17.01; Revenue: 53 cr; Net Profit: 23 cr; Recommended: buy; Projected High: 88.0; Projected Medium: 79.0; Projected Low: 75.0; All time high: 81.65 => 38.0%; SMA 200: 61.34 => -22.12%; RSI: 22.67; Day Volatility: 2.71; Week Volatility: 10.59; Month Volatility: 20.93; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 50.2 => 0.06%; Week Support: 50.2 => 0.06%; Month Support: 29.92 => 40.43%; Day NWE: 48.51 => 3.43%; Week NWE: 48.1 => 4.24%; Month NWE: 48.87 => 2.7%)
YELP,2568,100,1.0,2,19.63,0.15,0.15,-28.88,3.5,(Stock Name: Yelp Inc.; Sector: Communication Services; Intrinsic: 11.29; Revenue: 147 cr; Net Profit: 13 cr; Recommended: hold; Projected High: 30.0; Projected Medium: 25.0; Projected Low: 19.0; All time high: 101.75 => 81.0%; SMA 200: 25.42 => -29.5%; RSI: 30.56; Day Volatility: 3.5; Week Volatility: 12.18; Month Volatility: 26.06; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 19.6 => 0.15%; Week Support: 19.6 => 0.15%; Month Support: 25.3 => -28.88%; Day NWE: 18.09 => 7.84%; Week NWE: 18.44 => 6.08%; Month NWE: 16.06 => 18.2%)
WEC,425,100,1.0,4,103.17,0.21,0.21,27.18,1.46,(Stock Name: WEC Energy Group, Inc.; Sector: Utilities; Intrinsic: 41.83; Revenue: 1014 cr; Net Profit: 169 cr; Recommended: buy; Projected High: 140.0; Projected Medium: 121.0; Projected Low: 108.5; All time high: 119.91 => 14.0%; SMA 200: 111.45 => -8.03%; RSI: 35.18; Day Volatility: 1.46; Week Volatility: 2.85; Month Volatility: 7.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 102.95 => 0.21%; Week Support: 102.95 => 0.21%; Month Support: 75.13 => 27.18%; Day NWE: 100.26 => 2.82%; Week NWE: 100.76 => 2.33%; Month NWE: 95.88 => 7.06%)
OPCH,1602,100,1.0,3,24.3,0.25,25.88,11.98,3.37,(Stock Name: Option Care Health, Inc.; Sector: Healthcare; Intrinsic: 8.41; Revenue: 569 cr; Net Profit: 21 cr; Recommended: buy; Projected High: 39.0; Projected Medium: 28.0; Projected Low: 23.0; All time high: 70.48 => 66.0%; SMA 200: 26.93 => -10.81%; RSI: 56.89; Day Volatility: 3.37; Week Volatility: 4.71; Month Volatility: 18.24; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 24.24 => 0.25%; Week Support: 18.01 => 25.88%; Month Support: 21.39 => 11.98%; Day NWE: 21.41 => 11.91%; Week NWE: 16.22 => 33.27%; Month NWE: 19.06 => 21.58%)
WY,697,100,1.0,3,21.22,0.28,0.28,0.28,2.4,(Stock Name: Weyerhaeuser Company; Sector: Real Estate; Intrinsic: 13.09; Revenue: 685 cr; Net Profit: 47 cr; Recommended: none; Projected High: 38.0; Projected Medium: 30.0; Projected Low: 28.0; All time high: 53.69 => 60.0%; SMA 200: 24.28 => -14.42%; RSI: 23.36; Day Volatility: 2.4; Week Volatility: 5.5; Month Volatility: 11.54; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.16 => 0.28%; Week Support: 21.16 => 0.28%; Month Support: 21.16 => 0.28%; Day NWE: 20.67 => 2.6%; Week NWE: 20.56 => 3.12%; Month NWE: 16.84 => 20.63%)
DX,1741,100,1.0,2,12.18,0.33,0.33,11.41,1.86,(Stock Name: Dynex Capital, Inc.; Sector: Real Estate; Intrinsic: 12.92; Revenue: 50 cr; Net Profit: 43 cr; Recommended: none; Projected High: 15.0; Projected Medium: 14.75; Projected Low: 14.5; All time high: 33.18 => 63.0%; SMA 200: 13.33 => -9.45%; RSI: 29.87; Day Volatility: 1.86; Week Volatility: 3.23; Month Volatility: 9.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.14 => 0.33%; Week Support: 12.14 => 0.33%; Month Support: 10.79 => 11.41%; Day NWE: 12.06 => 0.99%; Week NWE: 11.78 => 3.28%; Month NWE: 10.45 => 14.23%)
ITRI,1532,100,1.0,2,90.44,0.36,0.36,56.46,2.18,(Stock Name: Itron, Inc.; Sector: Technology; Intrinsic: 36.92; Revenue: 230 cr; Net Profit: 27 cr; Recommended: none; Projected High: 150.0; Projected Medium: 130.0; Projected Low: 115.0; All time high: 142.0 => 36.0%; SMA 200: 92.19 => -1.93%; RSI: 34.6; Day Volatility: 2.18; Week Volatility: 4.84; Month Volatility: 15.73; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 90.11 => 0.36%; Week Support: 90.11 => 0.36%; Month Support: 39.38 => 56.46%; Day NWE: 85.37 => 5.61%; Week NWE: 75.11 => 16.95%; Month NWE: 67.38 => 25.49%)
NATR,3970,100,1.0,2,13.02,0.38,0.38,16.97,3.5,(Stock Name: Nature's Sunshine Products, Inc; Sector: Consumer Defensive; Intrinsic: 9.61; Revenue: 49 cr; Net Profit: 2 cr; Recommended: none; Projected High: 36.0; Projected Medium: 30.5; Projected Low: 25.0; All time high: 28.14 => 54.0%; SMA 200: 21.94 => -68.53%; RSI: 22.39; Day Volatility: 3.5; Week Volatility: 7.88; Month Volatility: 33.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.97 => 0.38%; Week Support: 12.97 => 0.38%; Month Support: 10.81 => 16.97%; Day NWE: 10.57 => 18.81%; Week NWE: 11.35 => 12.79%; Month NWE: 13.93 => -7.0%)
YUM,399,100,1.0,5,137.99,0.48,0.48,11.49,3.1,(Stock Name: Yum! Brands, Inc.; Sector: Consumer Cyclical; Intrinsic: -26.44; Revenue: 872 cr; Net Profit: 222 cr; Recommended: buy; Projected High: 200.0; Projected Medium: 175.0; Projected Low: 147.0; All time high: 170.14 => 19.0%; SMA 200: 154.42 => -11.91%; RSI: 37.22; Day Volatility: 3.1; Week Volatility: 6.54; Month Volatility: 12.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 137.33 => 0.48%; Week Support: 137.33 => 0.48%; Month Support: 122.13 => 11.49%; Day NWE: 133.59 => 3.19%; Week NWE: 136.76 => 0.89%; Month NWE: 133.02 => 3.6%)
PPL,518,100,1.0,4,33.34,0.51,0.51,33.41,1.32,(Stock Name: PPL Corporation; Sector: Utilities; Intrinsic: 20.0; Revenue: 940 cr; Net Profit: 126 cr; Recommended: buy; Projected High: 45.0; Projected Medium: 41.0; Projected Low: 35.0; All time high: 40.2 => 17.0%; SMA 200: 36.18 => -8.53%; RSI: 34.63; Day Volatility: 1.32; Week Volatility: 3.5; Month Volatility: 8.17; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 33.17 => 0.51%; Week Support: 33.17 => 0.51%; Month Support: 22.2 => 33.41%; Day NWE: 32.47 => 2.59%; Week NWE: 32.34 => 3.0%; Month NWE: 31.49 => 5.54%)
RCL,258,100,1.0,4,245.81,0.55,0.55,87.35,2.75,(Stock Name: Royal Caribbean Cruises Ltd.; Sector: Consumer Cyclical; Intrinsic: 38.27; Revenue: 1868 cr; Net Profit: 440 cr; Recommended: buy; Projected High: 415.0; Projected Medium: 353.0; Projected Low: 262.0; All time high: 366.5 => 33.0%; SMA 200: 287.61 => -17.01%; RSI: 22.57; Day Volatility: 2.75; Week Volatility: 7.17; Month Volatility: 21.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 244.45 => 0.55%; Week Support: 244.45 => 0.55%; Month Support: 31.09 => 87.35%; Day NWE: 223.1 => 9.24%; Week NWE: 215.08 => 12.5%; Month NWE: 229.33 => 6.7%)
AQN,1504,100,1.0,3,5.35,0.56,0.56,21.68,2.11,(Stock Name: Algonquin Power & Utilities Cor; Sector: Utilities; Intrinsic: 5.76; Revenue: 255 cr; Net Profit: 19 cr; Recommended: hold; Projected High: 7.25; Projected Medium: 7.0; Projected Low: 6.0; All time high: 17.86 => 70.0%; SMA 200: 6.09 => -13.87%; RSI: 34.81; Day Volatility: 2.11; Week Volatility: 3.85; Month Volatility: 11.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.32 => 0.56%; Week Support: 5.32 => 0.56%; Month Support: 4.19 => 21.68%; Day NWE: 5.16 => 3.47%; Week NWE: 4.97 => 7.17%; Month NWE: 3.24 => 39.45%)
SRTS,4901,100,1.0,0,3.05,0.66,0.66,41.31,3.4,(Stock Name: Sensus Healthcare, Inc.; Sector: Healthcare; Intrinsic: 2.24; Revenue: 2 cr; Net Profit: -2 cr; Recommended: none; Projected High: 6.0; Projected Medium: 5.75; Projected Low: 4.0; All time high: 15.25 => 80.0%; SMA 200: 3.71 => -21.72%; RSI: 43.3; Day Volatility: 3.4; Week Volatility: 12.94; Month Volatility: 27.1; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.03 => 0.66%; Week Support: 3.03 => 0.66%; Month Support: 1.79 => 41.31%; Day NWE: 2.7 => 11.31%; Week NWE: 1.47 => 51.83%; Month NWE: 0.93 => 69.65%)
GEL,2171,100,1.0,3,14.65,0.68,0.68,32.7,2.95,(Stock Name: Genesis Energy, L.P.; Sector: Energy; Intrinsic: -2.76; Revenue: 183 cr; Net Profit: 2 cr; Recommended: none; Projected High: 19.0; Projected Medium: 18.0; Projected Low: 18.0; All time high: 57.47 => 75.0%; SMA 200: 16.21 => -10.65%; RSI: 30.48; Day Volatility: 2.95; Week Volatility: 5.05; Month Volatility: 12.7; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.55 => 0.68%; Week Support: 14.55 => 0.68%; Month Support: 9.86 => 32.7%; Day NWE: 14.51 => 0.98%; Week NWE: 12.95 => 11.58%; Month NWE: 11.08 => 24.37%)
SMG,1733,100,1.0,3,52.36,0.69,0.69,12.89,3.06,(Stock Name: Scotts Miracle-Gro Company (The; Sector: Basic Materials; Intrinsic: -4.92; Revenue: 348 cr; Net Profit: 15 cr; Recommended: buy; Projected High: 82.0; Projected Medium: 77.5; Projected Low: 70.0; All time high: 254.34 => 79.0%; SMA 200: 62.59 => -19.53%; RSI: 23.44; Day Volatility: 3.06; Week Volatility: 7.61; Month Volatility: 21.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 52.0 => 0.69%; Week Support: 52.0 => 0.69%; Month Support: 45.61 => 12.89%; Day NWE: 49.94 => 4.62%; Week NWE: 49.37 => 5.7%; Month NWE: 13.53 => 74.15%)
COUR,2340,100,1.0,2,5.04,0.79,0.79,-94.64,3.26,(Stock Name: Coursera, Inc.; Sector: Consumer Defensive; Intrinsic: 4.25; Revenue: 89 cr; Net Profit: -14 cr; Recommended: none; Projected High: 10.0; Projected Medium: 8.0; Projected Low: 6.5; All time high: 62.53 => 92.0%; SMA 200: 6.09 => -20.89%; RSI: 34.43; Day Volatility: 3.26; Week Volatility: 12.09; Month Volatility: 26.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.0 => 0.79%; Week Support: 5.0 => 0.79%; Month Support: 9.81 => -94.64%; Day NWE: 4.84 => 4.05%; Week NWE: 3.42 => 32.04%; Month NWE: 0.0 => 100.0%)
