[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
GT,2333,100,1.0,-3,5.05,hold,9.87,49.0,37.2,86.0,4.3,(Stock Name: The Goodyear Tire & Rubber Comp; Sector: Consumer Cyclical; Intrinsic: 9.87; Revenue: 1769 cr; Net Profit: -254 cr; Recommended: hold; Projected High: 10.0; Projected Medium: 7.0; Projected Low: 6.0; All time high: 37.2 => 86.0%; SMA 200: 7.28 => -44.09%; RSI: 27.64; Day Volatility: 4.3; Week Volatility: 11.71; Month Volatility: 29.17; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.51 => -28.91%; Week Support: 6.51 => -28.91%; Month Support: 7.27 => -43.96%; Day NWE: 4.68 => 7.39%; Week NWE: 3.94 => 22.0%; Month NWE: 0.55 => 89.19%)
FBRT,3018,100,1.0,3,7.47,buy,14.77,49.0,17.74,58.0,3.18,(Stock Name: Franklin BSP Realty Trust, Inc.; Sector: Real Estate; Intrinsic: 14.77; Revenue: 29 cr; Net Profit: 4 cr; Recommended: buy; Projected High: 13.0; Projected Medium: 12.0; Projected Low: 10.0; All time high: 17.74 => 58.0%; SMA 200: 8.94 => -19.66%; RSI: 32.87; Day Volatility: 3.18; Week Volatility: 6.65; Month Volatility: 14.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 11.99 => -60.51%; Month Support: 10.34 => -38.42%; Day NWE: 7.4 => 0.99%; Week NWE: 6.91 => 7.52%; Month NWE: 0.0 => 100.0%)
PERI,3561,100,1.0,-3,8.66,none,16.84,49.0,44.82,81.0,3.73,(Stock Name: Perion Network Ltd; Sector: Communication Services; Intrinsic: 16.84; Revenue: 44 cr; Net Profit: -1 cr; Recommended: none; Projected High: 14.0; Projected Medium: 13.0; Projected Low: 12.0; All time high: 44.82 => 81.0%; SMA 200: 9.41 => -8.61%; RSI: 35.01; Day Volatility: 3.73; Week Volatility: 8.41; Month Volatility: 20.13; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.0 => 19.17%; Week Support: 7.0 => 19.17%; Month Support: 7.0 => 19.17%; Day NWE: 8.06 => 6.92%; Week NWE: 7.78 => 10.16%; Month NWE: 1.05 => 87.84%)
MGPI,3697,100,1.0,-3,14.13,none,27.59,49.0,125.74,89.0,3.5,(Stock Name: MGP Ingredients, Inc.; Sector: Consumer Defensive; Intrinsic: 27.59; Revenue: 50 cr; Net Profit: -24 cr; Recommended: none; Projected High: 35.0; Projected Medium: 30.0; Projected Low: 20.0; All time high: 125.74 => 89.0%; SMA 200: 19.82 => -40.26%; RSI: 26.86; Day Volatility: 3.5; Week Volatility: 10.42; Month Volatility: 21.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 25.12 => -77.78%; Week Support: 25.12 => -77.78%; Month Support: 21.64 => -53.15%; Day NWE: 13.53 => 4.21%; Week NWE: 4.96 => 64.91%; Month NWE: -11.62 => 182.23%)
WW,4231,100,1.0,-3,16.1,buy,31.83,49.0,46.95,66.0,7.02,(Stock Name: WW International, Inc.; Sector: Healthcare; Intrinsic: 31.83; Revenue: 67 cr; Net Profit: -10 cr; Recommended: buy; Projected High: 35.0; Projected Medium: 30.0; Projected Low: 20.0; All time high: 46.95 => 66.0%; SMA 200: 18.1 => -12.44%; RSI: 51.86; Day Volatility: 7.02; Week Volatility: 22.63; Month Volatility: 41.54; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 12.16 => 24.45%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
FBIO,4624,100,1.0,3,2.51,none,4.93,49.0,190.5,99.0,3.53,(Stock Name: Fortress Biotech, Inc.; Sector: Healthcare; Intrinsic: 4.93; Revenue: 7 cr; Net Profit: 10 cr; Recommended: none; Projected High: 17.0; Projected Medium: 11.0; Projected Low: 5.0; All time high: 190.5 => 99.0%; SMA 200: 3.0 => -19.63%; RSI: 36.19; Day Volatility: 3.53; Week Volatility: 10.47; Month Volatility: 27.83; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.33 => 47.01%; Week Support: 1.33 => 47.01%; Month Support: 1.33 => 47.01%; Day NWE: 2.18 => 13.3%; Week NWE: 2.05 => 18.23%; Month NWE: -11.98 => 577.19%)
LGO,4760,100,1.0,-1,0.65,none,1.28,49.0,59.0,99.0,5.93,(Stock Name: Largo Inc.; Sector: Basic Materials; Intrinsic: 1.28; Revenue: 13 cr; Net Profit: -8 cr; Recommended: none; Projected High: 2.4; Projected Medium: 1.95; Projected Low: 1.5; All time high: 59.0 => 99.0%; SMA 200: 1.03 => -58.67%; RSI: 42.22; Day Volatility: 5.93; Week Volatility: 16.81; Month Volatility: 52.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.85 => -30.77%; Week Support: 0.85 => -30.77%; Month Support: 1.38 => -112.31%; Day NWE: 0.52 => 19.66%; Week NWE: 0.2 => 69.13%; Month NWE: -5.43 => 934.79%)
ATER,5402,100,1.0,0,0.7,none,1.36,49.0,587.88,100.0,15.16,(Stock Name: Aterian, Inc.; Sector: Consumer Cyclical; Intrinsic: 1.36; Revenue: 7 cr; Net Profit: -2 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 587.88 => 100.0%; SMA 200: 0.8 => -13.67%; RSI: 57.0; Day Volatility: 15.16; Week Volatility: 30.95; Month Volatility: 85.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.51 => 26.43%; Week Support: 0.51 => 26.43%; Month Support: 0.0 => 100.0%; Day NWE: 0.31 => 55.31%; Week NWE: 0.12 => 82.32%; Month NWE: 0.0 => 100.0%)
NOMD,2312,100,1.0,1,10.66,none,20.94,49.0,31.85,67.0,2.39,(Stock Name: Nomad Foods Limited; Sector: Consumer Defensive; Intrinsic: 20.94; Revenue: 296 cr; Net Profit: 12 cr; Recommended: none; Projected High: 14.939676; Projected Medium: 13.943469; Projected Low: 10.955993; All time high: 31.85 => 67.0%; SMA 200: 11.14 => -4.51%; RSI: 33.41; Day Volatility: 2.39; Week Volatility: 7.42; Month Volatility: 13.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 15.43 => -44.75%; Month Support: 13.56 => -27.2%; Day NWE: 10.27 => 3.69%; Week NWE: 8.65 => 18.88%; Month NWE: 7.75 => 27.26%)
SEVN,4212,100,1.0,1,7.34,none,14.15,48.0,23.44,69.0,1.79,(Stock Name: Seven Hills Realty Trust; Sector: Real Estate; Intrinsic: 14.15; Revenue: 3 cr; Net Profit: 1 cr; Recommended: none; Projected High: 10.5; Projected Medium: 10.0; Projected Low: 8.5; All time high: 23.44 => 69.0%; SMA 200: 8.36 => -13.92%; RSI: 36.64; Day Volatility: 1.79; Week Volatility: 3.81; Month Volatility: 9.89; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 8.57 => -16.76%; Month Support: 8.57 => -16.76%; Day NWE: 7.04 => 4.02%; Week NWE: 6.53 => 11.03%; Month NWE: 5.26 => 28.37%)
ORIO,5171,100,1.0,-2,1.04,none,2.0,48.0,36.87,97.0,7.8,(Stock Name: Orion Digital Corp.; Sector: Technology; Intrinsic: 2.0; Revenue: 4 cr; Net Profit: -2 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 36.87 => 97.0%; SMA 200: 0.99 => 4.92%; RSI: 59.33; Day Volatility: 7.8; Week Volatility: 20.1; Month Volatility: 25.87; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.74 => 28.85%; Week Support: 0.74 => 28.85%; Month Support: 0.74 => 28.85%; Day NWE: 0.88 => 15.68%; Week NWE: 0.41 => 60.31%; Month NWE: 0.43 => 58.33%)
